point_id,Lon,Lat,daima,MOD17_sample_Lon,MOD17_sample_Lat
000,95.57850044210679,32.8536357284612,61,95.5810939425798,32.85492125827761
001,95.62790778273336,32.79973681141403,61,95.6300296462992,32.80096202274202
002,95.62341620631277,32.750329470787456,61,95.62500831084269,32.75149939016774
003,95.69977300546293,32.68295582447849,61,95.70230826826082,32.684050345748254
004,95.60994147705098,32.79973681141403,61,95.6086314532222,32.80096202274202
005,95.69078985262173,32.69193897731969,61,95.69057588099066,32.693043551670854
006,95.63689093557456,32.750329470787456,61,95.63570146201539,32.75149939016774
007,95.69528142904232,32.70541370658148,61,95.69435280571616,32.706533360554744
008,95.55155098358321,32.82668626993762,61,95.55204690005881,32.82794164050981
009,95.7491803460895,32.69193897731969,61,95.74934967082226,32.693043551670854
010,95.56053413642441,32.82219469351702,61,95.56326220780495,32.82344503754852
011,95.5695172892656,32.84465257562,61,95.57140727838463,32.84592805235501
012,95.5740088656862,32.81770311709642,61,95.5744769686728,32.81894843458722
013,95.72223088756591,32.70092213016088,61,95.721592368863,32.70203675759345
014,95.71773931114532,32.696430553740285,61,95.7167697308317,32.69754015463215
015,95.84350345092206,32.642531636693114,246,95.84588591692682,32.64358091909656
016,95.76265507535129,32.69193897731969,246,95.76537888623088,32.693043551670854
017,95.86596133302504,32.59312429606654,246,95.86766652411268,32.594118286522274
018,95.7671466517719,32.64702321311371,246,95.77059930999735,32.64807752205786
019,95.35841319749751,32.831177846358216,246,95.35888195674193,32.83243824347112
020,95.26409009266496,33.06473982022929,246,95.26805040568007,33.066261597458656
021,95.78960453387488,32.65600636595491,246,95.79091460980035,32.65707072798046
022,95.97375916711938,32.73236316510506,246,95.97454631808765,32.73351297832254
023,95.78960453387488,32.64702321311371,246,95.79196084395215,32.64807752205786
024,95.28654797476794,33.060248243808694,246,95.29000994565429,33.06176499449736
025,95.47070260801245,32.82219469351702,246,95.47229687549563,32.82344503754852
026,95.97375916711938,32.79973681141403,246,95.97775028380066,32.80096202274202
027,95.52460152505962,32.718888435843276,246,95.52710617258191,32.72002316943865
028,95.03951127163508,33.12313031369706,246,95.04148637052036,33.124717435955546
029,95.97825074353997,32.79524523499343,246,95.9782456330963,32.79646541978072
030,94.460097913378,33.27584391199738,497,94.4599705300057,33.277601936639705
