point_id,Lon,Lat,Year,Month,daima,aspect,NPP,LST_Day_1km,NDVI,Precipitation_mm,VPD,surface_solar_radiation_downwards_sum,temperature_2m,volumetric_soil_water_layer_1,elevation,slope
000,95.57850044210679,32.8536357284612,2001.0,1.0,61,241,0.0,3.5834796223811054,0.08859221385937681,15.147101729790132,0.05200598615023551,482.70477817578774,-19.506527960238202,0.3448062914439917,4121.0015,3
001,95.62790778273336,32.79973681141403,2001.0,1.0,61,197,0.0,3.960892767528833,0.20704973148857958,15.316895055388125,0.049267519945606575,482.3227919256011,-19.852473846054863,0.3446563514520332,4188.4624,18
002,95.62341620631277,32.750329470787456,2001.0,1.0,61,68,0.0,-0.5256145276138113,0.11260547972378257,15.79542870734263,0.049203745661873854,482.9214400782882,-19.913733968561047,0.34509346792589013,3954.996,5
003,95.69977300546293,32.68295582447849,2001.0,1.0,61,331,0.0,-3.7591150430540665,0.13036692363115357,16.47724055740659,0.048197403869745095,482.935524126493,-19.76526223196163,0.3485106457317398,4075.393,19
004,95.60994147705098,32.79973681141403,2001.0,1.0,61,21,0.0,1.4985801052216061,0.10332659890143746,15.373299714419108,0.050181688471162764,482.6008347072771,-19.72477773991514,0.3438474044923221,3992.046,16
005,95.69078985262173,32.69193897731969,2001.0,1.0,61,95,0.0,-2.086165679755311,0.1264893986151024,16.327997693148426,0.04810770034321417,482.8537463355384,-19.82769895595547,0.3477989881507815,4222.5913,18
006,95.63689093557456,32.750329470787456,2001.0,1.0,61,261,0.0,2.048291631721611,0.12636575338738135,15.774645255161493,0.04888695472528208,482.78507724562826,-19.93509706886519,0.34543532778019514,4199.0264,15
007,95.69528142904232,32.70541370658148,2001.0,1.0,61,209,0.0,3.501223617611288,0.14832095234872844,16.131435515991818,0.04769343139805676,482.54647696023153,-19.88253133434233,0.34752657918290614,4147.9634,24
008,95.55155098358321,32.82668626993762,2001.0,1.0,61,23,0.0,-4.172495474725395,0.08621104044500687,15.386563758050645,0.05175567299296045,483.0702507252564,-19.6083112586104,0.34369524685499453,4327.0493,18
009,95.7491803460895,32.69193897731969,2001.0,1.0,61,186,0.0,1.0353037748252518,0.1059841611254688,16.22181427360751,0.04539443382548991,481.68658672523065,-20.102750257927113,0.34979953068446623,4185.307,21
010,95.56053413642441,32.82219469351702,2001.0,1.0,61,45,0.0,-0.45472510583715575,0.1247970967041428,15.378907029295021,0.05146940268270056,482.98473398822154,-19.628493980675046,0.3437144827590954,4271.771,18
011,95.5695172892656,32.84465257562,2001.0,1.0,61,110,0.0,0.32119572402314134,0.11045363895528368,15.226572549107631,0.05196584935127911,482.8226453523472,-19.530277753219764,0.344427442841158,4080.499,6
012,95.5740088656862,32.81770311709642,2001.0,1.0,61,14,0.0,-1.5626541484894005,0.14385455770785133,15.371041973830897,0.05120813442630029,482.89690860916994,-19.642784737051443,0.34372882235634583,3996.6816,4
013,95.72223088756591,32.70092213016088,2001.0,1.0,61,148,0.0,5.134194177113443,0.11253971109353182,16.13167548142242,0.04653697715942712,482.0694789207257,-19.98875879843402,0.34851045701802646,4388.157,15
014,95.71773931114532,32.696430553740285,2001.0,1.0,61,178,0.0,4.742433118659903,0.12492925681929028,16.20589954717099,0.046903933805653455,482.2602872207406,-19.934225328671346,0.3484372452924851,4285.185,15
015,95.84350345092206,32.642531636693114,2001.0,1.0,246,209,0.0,-1.443216603915289,0.3145431307117946,16.803464498017355,0.04166506589333831,480.8505478817272,-20.290094989040085,0.354150318260669,4092.244,11
016,95.76265507535129,32.69193897731969,2001.0,1.0,246,283,0.0,-0.32620892634537313,0.10660277787125723,16.190206838380103,0.04457731560486122,481.3444968962314,-20.199566133243792,0.3503772760092809,4011.339,5
017,95.86596133302504,32.59312429606654,2001.0,1.0,246,63,0.0,-3.126449750501081,0.060533823113181964,17.4880922249944,0.04114518793955137,481.6176210479686,-20.10359793573798,0.3551396634811308,3925.2686,3
018,95.7671466517719,32.64702321311371,2001.0,1.0,246,74,0.0,-0.3308311477188113,0.1310991491487786,16.937734235100926,0.04580573011491361,482.416075808052,-19.88983423658027,0.35187506429789045,3979.2217,12
019,95.35841319749751,32.831177846358216,2001.0,1.0,246,311,0.0,2.7525051661642124,0.10617528844672075,15.703277838565128,0.054732723482740345,484.7043505936087,-19.72321550977307,0.342478777765854,4227.5635,8
020,95.26409009266496,33.06473982022929,2001.0,1.0,246,126,0.0,3.027193009291807,0.1453494593168259,13.609352828979494,0.05662665511757643,482.1950512998175,-19.87511508017701,0.34596306958166273,4888.9175,15
021,95.78960453387488,32.65600636595491,2001.0,1.0,246,108,0.0,2.4034471100200676,0.1330260955677811,16.73289950734108,0.04439554269790123,481.73592238386254,-20.06306904104318,0.35217316807494514,4012.0144,22
022,95.97375916711938,32.73236316510506,2001.0,1.0,246,108,0.0,-3.750450521690425,0.04051735265366944,15.533124492144527,0.03733031546481175,476.4909649680395,-20.89920106690448,0.35885490729195135,4375.62,22
023,95.78960453387488,32.64702321311371,2001.0,1.0,246,52,0.0,-0.11271533826777613,0.015058413685893737,16.878247403820424,0.04461773533490154,481.94705067400565,-19.995564458778915,0.35241866767703744,3922.42,8
024,95.28654797476794,33.060248243808694,2001.0,1.0,246,355,0.0,2.3873002707794058,0.14448863450374227,13.777772366944594,0.055641799722433535,482.20611723064115,-20.014890993443288,0.3455715357100943,4451.408,3
025,95.47070260801245,32.82219469351702,2001.0,1.0,246,255,0.0,2.728885372771799,0.18110457658092705,15.656316705935788,0.052664956190055026,483.832592240824,-19.701102084100484,0.3427376887406459,4731.4424,13
026,95.97375916711938,32.79973681141403,2001.0,1.0,246,262,0.0,-1.971590909226279,0.013746094902385483,14.853626834353063,0.038561040374594596,476.21530714230107,-20.893532516743534,0.35871957664814064,4431.667,18
027,95.52460152505962,32.718888435843276,2001.0,1.0,246,98,0.0,2.8110853908306126,0.0165445681017418,16.251947308962098,0.04943801835748532,484.25078909696913,-20.33850580624798,0.34479917758972806,4792.3584,11
028,95.03951127163508,33.12313031369706,2001.0,1.0,246,260,0.0,2.0125802885001463,0.18098075859320423,12.202180092755793,0.06339401064406253,481.25110654214814,-19.075919021096382,0.3491966610916663,4531.907,13
029,95.97825074353997,32.79524523499343,2001.0,1.0,246,262,0.0,-1.3730634289102568,0.02504627257161597,14.89795957021253,0.03846592104626759,476.2082651326044,-20.894287723504135,0.35875252251930867,4440.5684,20
030,94.460097913378,33.27584391199738,2001.0,1.0,497,203,0.0,6.652587662617009,0.18563533216395342,6.905038915343994,0.07101776684201623,471.90225506480334,-17.952417253099497,0.34499520234487324,4607.696,3
031,94.01992342415943,33.0512650909675,2001.0,1.0,497,58,0.0,1.9188503287036838,0.13231946639920775,7.585419813653042,0.06080002787952697,477.5485832560057,-18.948975676865274,0.3322106121572437,4927.586,3
032,94.76552510997863,33.10516400801467,2001.0,1.0,497,353,0.0,1.3804153581106107,0.20196831953128142,9.564625703646163,0.06460267942045232,480.3135516720611,-18.81185121632575,0.351545385946699,4540.0566,17
033,94.01543184773882,33.172537654323634,2001.0,1.0,497,56,0.0,2.8335426741465426,0.18197655442071606,6.785060275652903,0.06340926299703357,471.37125710673905,-18.582869673836996,0.3327686163087971,4709.79,2
034,94.30289273865708,33.68906894269236,2001.0,1.0,497,244,0.0,0.4360410349174799,0.1860252644895095,7.843837923047988,0.06312811315060107,453.6267835610657,-18.799828077686186,0.3497962642826321,4736.208,2
035,93.85822667301791,33.316268099782754,2001.0,1.0,497,256,0.0,0.9623833161897437,0.17827209972307267,6.427478159478288,0.06183438935301881,462.8784532889769,-19.33348476967086,0.34856019464134647,4922.9746,1
036,94.66671042872548,33.01982405602331,2001.0,1.0,497,201,0.0,6.746203750456743,0.18947964477424395,9.61558093691571,0.05741357709185341,483.1027095377797,-19.640722328981695,0.3429024717373411,4739.9346,19
037,94.30289273865708,32.91651779834957,2001.0,1.0,497,140,0.0,2.5100413741490684,0.1539355527920318,10.143088119189613,0.05162583494586061,486.8992853371559,-20.25640348838266,0.3344481989324574,4904.5693,5
038,95.02603654237329,32.84465257562,2001.0,1.0,497,256,0.0,5.146508027684547,0.1876054482832543,13.618980322404738,0.06175987430288203,486.3077834372665,-19.10019683991578,0.3452116284934225,4553.107,12
039,94.68467673440787,33.28931864125917,2001.0,1.0,497,303,0.0,3.834165083988637,0.1902346409925181,7.9853105063719765,0.07152280966351764,473.5800894879415,-17.961763185806518,0.3470121654523034,4658.8247,8
040,94.12322968183317,33.57677953217742,2001.0,1.0,497,283,0.0,3.055006834643166,0.14843201748903576,7.65373564509275,0.06306967902480952,455.0932131848745,-18.62765133078608,0.3378069769074804,4568.386,0
041,94.63976097020189,33.12313031369706,2001.0,1.0,497,10,0.0,3.9859501315494867,0.14232590320130065,8.70728673932995,0.06469685464497718,479.44713581896735,-18.620222081201575,0.34656991174344937,4469.6177,4
042,94.53645471252815,33.702543671954146,2001.0,1.0,497,257,0.0,-2.949816591764204,0.1479055810895213,8.821693066032452,0.0642462253163304,456.0411694338309,-18.760371618744955,0.3104550441579458,4940.6777,3
043,94.94069659038193,32.91651779834957,2001.0,1.0,497,100,0.0,5.088133831253913,0.13035714536272916,12.328203737489291,0.06204134935796887,485.479313446516,-19.254680284501887,0.34812516003078064,4610.8584,4
044,94.65323569946368,33.24889445347379,2001.0,1.0,497,298,0.0,5.72742274724709,0.21112363127200165,8.007636346525846,0.07117752361770203,474.78716195599895,-17.926371236212447,0.34803450834947974,4614.092,7
045,94.53645471252815,33.54983007365383,2001.0,1.0,497,288,0.0,1.5700555584450626,0.16138660922056794,8.436738684320547,0.06721724060727821,462.2944914612265,-18.292846358351625,0.37492813693837646,4742.0923,1
046,94.54094628894875,33.07821454949108,2001.0,1.0,497,92,0.0,3.8011709370753124,0.2011054472200684,8.830163441205572,0.057811002230979416,481.5628678957686,-19.4593215355998,0.2698719585846744,4596.5596,6
047,94.91823870827895,32.898551492667174,2001.0,1.0,497,49,0.0,4.1781361696920385,0.1690725203025588,12.329837109456337,0.061074135834744345,485.73424370719414,-19.39582267947432,0.3474831029929242,4429.2144,11
048,93.72347938039998,33.54983007365383,2001.0,1.0,497,33,0.0,4.434355159976633,0.16155592119192141,7.725584822789529,0.07213520147154845,450.04924534265433,-18.366926632631618,0.36693240649117126,4693.42,6
049,94.13670441109497,33.563304802915624,2001.0,1.0,497,306,0.0,3.9851023394519984,0.1568671481700748,7.574999556346403,0.06273870401789122,455.7818981871693,-18.70730856027373,0.37517180119077326,4579.0254,1
050,94.50950525400457,33.4195743574565,2001.0,1.0,497,248,0.0,4.30928770560854,0.22044214557335065,7.485705832200217,0.07055446991801394,466.7655494312735,-18.050527834875794,0.35169031207287704,4639.797,2
051,94.60831993525771,32.93897568045256,2001.0,1.0,497,205,0.0,3.7519631261159816,0.21091770934648696,10.453871451534043,0.05269989092812047,485.7735909151514,-20.208222849141436,0.40971609799788467,4736.143,4
052,94.30289273865708,33.34321755830634,2001.0,1.0,497,189,0.0,2.7685434631629278,0.18478144580236114,6.455187908229905,0.06369115111591372,466.90806954353684,-19.01727899118646,0.3819368969444939,4789.9062,5
053,95.87494448586624,32.68295582447849,2001.0,1.0,497,187,0.0,0.7713124730601066,0.04812501027892489,16.11434840691955,0.03927513793718944,479.0840970054772,-20.782553441391684,0.35499589786326985,4557.2905,19
054,94.92722186112015,32.84016099919941,2001.0,1.0,497,179,0.0,4.042517254104723,0.20794052084799233,13.027329355404001,0.05922286633637168,486.6684016097368,-19.551853785129765,0.3451998793958938,4905.738,17
055,94.10077179973018,33.45550696882128,2001.0,1.0,497,50,0.0,0.7359925752912204,0.18681578504960214,6.960496796708805,0.05993873364581542,459.36354346949923,-19.246037687554036,0.5133749190317611,4756.14,3
056,95.04400284805568,33.114147160855865,2001.0,1.0,497,5,0.0,0.4622230035413395,0.1587007294466826,12.237933942972838,0.06348226315630784,481.53090897503637,-19.05671786267564,0.34941780905965436,4712.004,10
057,95.02154496595269,33.001857750340925,2001.0,1.0,497,71,0.0,4.055917885575525,0.15147161423594432,12.153839538886773,0.06456069592500985,484.4975849178895,-18.935886554118497,0.35123424181396523,4450.9775,16
058,95.1697669878324,32.87160203414359,2001.0,1.0,497,45,0.0,4.831698802701624,0.18123888976008162,14.377978531962283,0.06042910589242709,485.4146815419924,-19.13927250004315,0.3442216608326798,4378.958,7
